Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
sdg,Australia and New Zealand,total,Drinking water,2017,0,0,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2017,0,0,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2017,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2017,0.02524,7391.8325,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2017,0,0,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2017,0.02935,7391.71027,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2018,26.35044,7810609.0486,Basic service
sdg,Australia and New Zealand,total,Sanitation,2018,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2018,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2018,73.64212,21828470.63083,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2018,0.00743,2203.32057,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2018,99.97471,29633786.29184,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2018,100,4121273.88,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2018,3.43262,876005.1265,Basic service
sdg,Australia and New Zealand,total,Drinking water,2018,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2018,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2018,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2018,96.53801,24636508.28404,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2018,0,0,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2018,0,0,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2018,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2018,0.02529,7495.81664,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2018,0,0,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2018,0.02937,7495.38945,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2019,25.41156,7619976.91155,Basic service
sdg,Australia and New Zealand,total,Sanitation,2019,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2019,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2019,74.581,22364054.83949,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2019,0.00744,2230.24899,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2019,99.97466,29978664.31507,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2019,100,4137408.05,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2019,3.43497,887900.62216,Basic service
sdg,Australia and New Zealand,total,Drinking water,2019,0,0,Limited service
